set_title,set_description,set_subject,set_topic,set_year_group,question_text,answer_text
HSC Maths Extension 1,Proof,Mathematics,Proof by Mathematical Induction,Year 12,What types of statements can be proven by induction?,Statements involving sums, divisibility, inequalities.
HSC Maths Extension 1,Vectors,Mathematics,Introduction to Vectors,Year 12,What is a unit vector?,A vector with a magnitude of 1.
HSC Maths Extension 1,Trigonometric functions,Mathematics,Inverse Trigonometric Functions,Year 12,What is the derivative of arccos(x)?,-1 / sqrt(1 - x^2)
HSC Maths Extension 1,Combinatorics,Mathematics,Permutations and Combinations,Year 12,In how many ways can 5 distinct books be arranged on a shelf?,5! = 120 ways
HSC Maths Extension 1,Calculus,Mathematics,Further Calculus Skills,Year 12,What is L'Hopital's Rule used for?,To evaluate indeterminate forms of limits (0/0 or ∞/∞).
HSC Maths Extension 1,Statistical analysis,Mathematics,The Binomial Distribution,Year 12,What is the variance of a binomial distribution?,Var(X) = np(1-p)
HSC Maths Extension 1,Functions and polynomials,Mathematics,Functions,Year 12,What is a vertical asymptote?,A vertical line that the graph of a function approaches but never touches.
HSC Maths Extension 1,Proof,Mathematics,Proof by Mathematical Induction,Year 12,Can induction be used for real numbers?,No, it's typically for integers or natural numbers.
HSC Maths Extension 1,Vectors,Mathematics,Introduction to Vectors,Year 12,How do you add vectors graphically?,Using the head-to-tail method or parallelogram method.
HSC Maths Extension 1,Trigonometric functions,Mathematics,Inverse Trigonometric Functions,Year 12,What is the derivative of arcsin(x)?,1 / sqrt(1 - x^2)
HSC Maths Extension 1,Combinatorics,Mathematics,Permutations and Combinations,Year 12,How many ways to choose 3 students from a group of 10 for a committee?,C(10,3) = 120 ways
HSC Maths Extension 1,Calculus,Mathematics,Further Applications of Calculus,Year 12,What is Newton's method used for?,Approximating the roots of a real-valued function.
HSC Maths Extension 1,Statistical analysis,Mathematics,The Binomial Distribution,Year 12,When is a binomial distribution appropriate?,When there are a fixed number of trials, each trial has two outcomes, trials are independent, and the probability of success is constant.
HSC Maths Extension 2,Complex numbers,Mathematics,Introduction to Complex Numbers,Year 12,What is the imaginary unit i?,sqrt(-1)
HSC Maths Extension 2,Proof,Mathematics,The Nature of Proof,Year 12,What is proof by contradiction?,Assuming the opposite of what you want to prove, and showing that this assumption leads to a contradiction.
HSC Maths Extension 2,Vectors,Mathematics,Further Work with Vectors,Year 12,What is the equation of a line in vector form?,r = a + λd (where a is a position vector on the line, d is the direction vector)
HSC Maths Extension 2,Calculus,Mathematics,Further Integration,Year 12,What is integration by parts?,A technique used to integrate products of functions: ∫ u dv = uv - ∫ v du
HSC Maths Extension 2,Mechanics,Mathematics,Applications of Calculus to Mechanics,Year 12,What is the equation for constant acceleration (suvat) that relates displacement, initial velocity, final velocity, and time?,s = (u+v)/2 * t
HSC Maths Extension 2,Complex numbers,Mathematics,Introduction to Complex Numbers,Year 12,How do you add two complex numbers (a+bi) and (c+di)?,(a+c) + (b+d)i
HSC Maths Extension 2,Proof,Mathematics,The Nature of Proof,Year 12,What is direct proof?,Starting with given assumptions and using logical steps to reach the conclusion.
HSC Maths Extension 2,Vectors,Mathematics,Further Work with Vectors,Year 12,What is the dot product of two perpendicular vectors?,0
HSC Maths Extension 2,Calculus,Mathematics,Further Integration,Year 12,What is partial fractions decomposition used for?,To integrate rational functions by breaking them down into simpler fractions.
HSC Maths Extension 2,Mechanics,Mathematics,Applications of Calculus to Mechanics,Year 12,What is the derivative of displacement with respect to time?,Velocity
HSC Maths Extension 2,Complex numbers,Mathematics,Introduction to Complex Numbers,Year 12,What is the modulus of a complex number z = x + yi?,|z| = sqrt(x^2 + y^2)
HSC Maths Extension 2,Proof,Mathematics,The Nature of Proof,Year 12,What is proof by contrapositive?,Proving the statement "If P then Q" by proving "If not Q then not P".
HSC Maths Extension 2,Vectors,Mathematics,Further Work with Vectors,Year 12,What is the equation of a plane in vector form?,r . n = a . n (where n is the normal vector to the plane)
HSC Maths Extension 2,Calculus,Mathematics,Further Integration,Year 12,What are improper integrals?,Integrals with infinite limits of integration or discontinuous integrands.
HSC Maths Extension 2,Mechanics,Mathematics,Applications of Calculus to Mechanics,Year 12,What is the derivative of velocity with respect to time?,Acceleration
HSC Maths Extension 2,Complex numbers,Mathematics,Introduction to Complex Numbers,Year 12,What is Argand diagram?,A geometric representation of complex numbers as points in a plane.
HSC Maths Extension 2,Proof,Mathematics,The Nature of Proof,Year 12,What is a counterexample?,A specific instance that shows a general statement is false.
HSC Maths Extension 2,Vectors,Mathematics,Further Work with Vectors,Year 12,How do you find the angle between two vectors?,Using the dot product formula: a . b = |a||b|cosθ
HSC Maths Extension 2,Calculus,Mathematics,Further Integration,Year 12,What is reduction formulae in integration?,Formulas that reduce a complex integral to a simpler one of the same type.
HSC Maths Extension 2,Mechanics,Mathematics,Applications of Calculus to Mechanics,Year 12,What is Hooke's Law?,F = -kx (Force exerted by a spring is proportional to its extension/compression)
HSC Maths Extension 2,Complex numbers,Mathematics,Introduction to Complex Numbers,Year 12,State De Moivre's Theorem.,(cosθ + i sinθ)^n = cos(nθ) + i sin(nθ)
HSC Maths Extension 2,Proof,Mathematics,The Nature of Proof,Year 12,What is the difference between a conjecture and a theorem?,A conjecture is a statement that is believed to be true but has not been proven, while a theorem is a proven statement.
HSC Maths Extension 2,Vectors,Mathematics,Further Work with Vectors,Year 12,What is the scalar projection of vector a onto vector b?,(|a|cosθ) or (a . b) / |b|
HSC Maths Extension 2,Calculus,Mathematics,Further Integration,Year 12,What are volumes of revolution?,The volume of a 3D solid generated by revolving a 2D area around an axis.
HSC Maths Extension 2,Mechanics,Mathematics,Applications of Calculus to Mechanics,Year 12,What is potential energy in mechanics?,The energy an object has due to its position or state.
HSC Maths Extension 2,Complex numbers,Mathematics,Introduction to Complex Numbers,Year 12,What is the conjugate of a complex number z = x + yi?,z* = x - yi
HSC Maths Extension 2,Proof,Mathematics,The Nature of Proof,Year 12,What is a necessary condition?,A condition that must be true for a given statement to be true.
HSC Maths Extension 2,Vectors,Mathematics,Further Work with Vectors,Year 12,What is the vector projection of vector a onto vector b?,((a . b) / |b|^2) * b
HSC Maths Extension 2,Calculus,Mathematics,Further Integration,Year 12,What is an integrating factor used for?,To solve first-order linear differential equations.
HSC Maths Extension 2,Mechanics,Mathematics,Applications of Calculus to Mechanics,Year 12,What is kinetic energy?,The energy an object possesses due to its motion.
HSC Maths Extension 2,Complex numbers,Mathematics,Introduction to Complex Numbers,Year 12,How do you multiply two complex numbers in polar form?,Multiply their moduli and add their arguments.
HSC Maths Extension 2,Proof,Mathematics,The Nature of Proof,Year 12,What is a sufficient condition?,A condition that, if true, guarantees the truth of another statement.
HSC Maths Extension 2,Vectors,Mathematics,Further Work with Vectors,Year 12,What is a position vector?,A vector that represents the position of a point in space relative to an origin.
HSC Maths Extension 2,Calculus,Mathematics,Further Integration,Year 12,What is the fundamental theorem of calculus?,It links the concepts of differentiating a function and integrating a function.
HSC Maths Extension 2,Mechanics,Mathematics,Applications of Calculus to Mechanics,Year 12,What is power in mechanics?,The rate at which work is done or energy is transferred.
HSC Maths Extension 2,Complex numbers,Mathematics,Introduction to Complex Numbers,Year 12,What are the roots of unity?,The solutions to the equation z^n = 1.
HSC Maths Extension 2,Proof,Mathematics,The Nature of Proof,Year 12,What is the difference between "if" and "if and only if" in mathematical statements?, "If" indicates a sufficient condition, "if and only if" indicates both necessary and sufficient conditions.
HSC Maths Extension 2,Vectors,Mathematics,Further Work with Vectors,Year 12,What is a scalar triple product?,The dot product of one vector with the cross product of two other vectors, giving the volume of the parallelepiped formed by the three vectors.
HSC Maths Extension 2,Calculus,Mathematics,Further Integration,Year 12,What are definite integrals used for?,Calculating the area under a curve.
HSC Maths Extension 2,Mechanics,Mathematics,Applications of Calculus to Mechanics,Year 12,What is momentum?,The product of an object's mass and its velocity.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,What is the purpose of the 'Texts and Human Experiences' module?,To explore how texts represent individual and collective human experiences, and their impact.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,What is a 'textual conversation'?,The dialogue or relationship between two texts, often involving re-imaginings or re-framings.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,What does 'textual integrity' refer to?,The unity and coherence of a text, where all its elements contribute to its overall meaning and effect.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is the purpose of 'The Craft of Writing' module?,To enable students to understand and appreciate the craft of writing and to compose imaginative, discursive, persuasive, and reflective texts.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do texts invite us to reflect on human experiences?,By presenting situations, characters, and ideas that resonate with our own lives and understanding.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How do composers draw on prior texts in 'textual conversations'?,Through intertextual allusions, adaptations, or re-imaginings that respond to or challenge original ideas.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,Why is context important in studying literature?,It provides insights into the social, cultural, and historical influences that shaped the text and its initial reception.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What are discursive texts?,Texts that explore an idea or range of ideas, often presenting multiple perspectives in a balanced way.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,What are 'anomalies, paradoxes, and inconsistencies' in human behaviour?,Deviations from the norm, contradictions, and shifts in behaviour or motivation that reveal the complexities of human experience.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,What are 'resonances' and 'dissonances' in textual conversations?,Resonances are similarities or echoes between texts, while dissonances are differences or points of tension.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,How can critical interpretations enhance understanding of a text?,They offer different perspectives, highlight specific aspects, and deepen appreciation of the text's complexity.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is the purpose of a persuasive text?,To convince the audience to adopt a particular viewpoint or take a specific action.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do texts explore the idea of 'collective human experiences'?,By depicting shared social, cultural, or historical events and their impact on groups of people.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How does the audience's context influence their interpretation of textual conversations?,Their own values, beliefs, and understanding of the world shape how they perceive the connections and differences between texts.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,What are the 'distinctive qualities' of a text?,The unique features of a text's form, style, and content that make it stand out.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What are imaginative texts?,Texts that create fictional worlds, characters, and events, often relying on creativity and storytelling.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,What role does storytelling play in expressing human experiences?,It provides a framework for understanding and communicating individual and collective journeys, emotions, and lessons.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How can a 're-framing' of an earlier text impact its meaning?,It can highlight new interpretations, challenge original assumptions, or bring contemporary relevance to the initial work.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,How do literary techniques contribute to 'textual integrity'?,They work together to create a unified and coherent meaning, reinforcing themes and ideas.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What are reflective texts?,Texts that explore the writer's thoughts, feelings, and experiences, often leading to personal insights or understanding.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do texts challenge assumptions about human experiences?,By presenting alternative perspectives or revealing the complexities and nuances often overlooked.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,What is the significance of the "intertextual dialogue" in this module?,It highlights how texts are not isolated entities but are in constant conversation with each other across time and contexts.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,How does the personal and intellectual connection with a text contribute to understanding?,It allows for deeper engagement, fostering empathy, critical thinking, and the development of individual interpretations.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is the importance of purpose and audience in writing?,They guide the writer's choices in terms of content, style, and structure to effectively communicate their message.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,What are universal human experiences?,Experiences that are common to all people across different cultures and time periods, such as love, loss, fear, and joy.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How can a later text critique an earlier text in a textual conversation?,By highlighting its limitations, biases, or by offering a new, perhaps more nuanced, perspective on its themes or ideas.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,How does studying multiple critical perspectives broaden understanding?,It exposes students to diverse interpretations and encourages them to formulate their own informed opinions.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,How do language forms and features contribute to effective writing?,They are the tools writers use (e.g., imagery, metaphor, syntax) to shape meaning, create impact, and engage the audience.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,What is the role of empathy in understanding human experiences through texts?,It allows readers to connect with characters and situations on an emotional level, fostering deeper insight into their struggles and triumphs.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,What is the significance of context in understanding the relationship between texts?,Contextual factors (historical, cultural, social) influence both the original text and its later re-imagining, shaping their meanings and the nature of their conversation.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,How can a text's aesthetic qualities be discussed?,By analysing its artistic merit, beauty, and emotional impact, often through its use of language, structure, and imagery.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is the difference between tone and mood in writing?,Tone is the writer's attitude towards the subject, while mood is the feeling evoked in the reader.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do composers explore the concept of "belonging" or "not belonging"?,Through characters' relationships, social interactions, and their connection to or alienation from places and communities.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How does a textual conversation enhance the enjoyment of both texts?,By revealing new layers of meaning, highlighting thematic connections, and appreciating the creative interplay between the works.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,What is the value of engaging with "quality literature"?,It offers profound insights into the human condition, exposes readers to diverse perspectives, and cultivates critical thinking skills.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is "voice" in writing?,The unique personality and style of the writer, conveyed through their language choices.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do narratives explore the impact of significant events on individuals?,By portraying characters' emotional responses, choices, and transformations in the face of adversity or change.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How can a text be seen as a "response" to another text?,By directly addressing its themes, characters, or ideas, either in agreement or disagreement.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,What is the significance of Aboriginal and/or Torres Strait Islander texts in the HSC syllabus?,They offer unique cultural perspectives, histories, and storytelling traditions, enriching students' understanding of Australian identities.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is coherence and cohesion in writing?,Coherence refers to the logical flow of ideas, while cohesion refers to the linguistic links that create unity in a text.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,What is the role of imagination in shaping human experiences?,It allows individuals to conceive of possibilities, create meaning, and navigate challenges.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How can different textual forms (e.g., drama and poetry) engage in a conversation?,They can explore similar themes or ideas through their unique generic conventions and expressive capabilities.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,How does analysing a text's structure contribute to understanding its meaning?,The way a text is organised (e.g., narrative structure, poetic form) impacts how meaning is conveyed and received.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is the importance of originality in creative writing?,It allows writers to express their unique perspectives and create fresh, engaging content.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do texts explore the complexities of human relationships?,By depicting the dynamics, conflicts, and bonds between individuals.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How can a textual conversation reveal enduring human concerns?,By demonstrating how similar themes or questions persist across different historical and cultural contexts.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,What is the difference between literary techniques and stylistic features?,Literary techniques are specific devices (e.g., metaphor, symbolism), while stylistic features relate to the overall manner of expression.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is the purpose of a stimulus in 'The Craft of Writing'?,To provide a starting point or inspiration for a piece of writing, guiding its content or form.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do texts explore the concept of "identity"?,By examining how individuals define themselves in relation to others, their experiences, and their environment.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How does a 'colliding' textual conversation occur?,When two texts present contrasting or conflicting perspectives on similar themes, leading to intellectual tension.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,What is the significance of the "values" reflected in a text?,They reveal the moral, ethical, and cultural principles that underpin the text's message and the society in which it was created.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,How can a writer develop a distinct voice?,Through consistent word choice, sentence structure, and overall style.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do texts represent moments of crisis or turning points in human experience?,By dramatizing pivotal events that challenge characters and force them to adapt or change.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How do the 'cultural and historical contexts' of composers influence textual conversations?,They shape the perspectives, values, and ideas that composers bring to their re-imaginings or responses.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,How does close analysis of language contribute to understanding textual integrity?,It reveals how individual words, phrases, and literary devices work together to create coherent meaning.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is the purpose of drafting and redrafting in the writing process?,To refine ideas, improve structure, enhance language, and strengthen the overall effectiveness of the text.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do texts explore the power of human connection and disconnection?,Through their portrayal of relationships, communication, and isolation.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,What is the role of "form" in shaping textual conversations?,The chosen form (e.g., novel, play, film) can influence how themes are presented and how the conversation unfolds.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,How can studying a text from different "perspectives" (e.g., feminist, post-colonial) deepen understanding?,It reveals how various theoretical lenses can illuminate different aspects of the text and its social implications.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What are literary devices and how are they used in writing?,Techniques like metaphor, simile, imagery, and symbolism used to add depth, meaning, and vividness to writing.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do texts invite personal reflection on universal themes?,By presenting situations that prompt readers to consider their own values, beliefs, and experiences.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How do composers "reimagine" characters or settings in a textual conversation?,They might alter traits, motivations, or contexts to explore new interpretations or address contemporary concerns.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,What is the importance of evidence from the text in literary analysis?,It provides concrete support for arguments and demonstrates a deep engagement with the specific language and structure of the work.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is figurative language and why is it effective?,Language that uses figures of speech (e.g., metaphors, similes) to create vivid imagery and convey meaning beyond the literal.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do texts explore resilience in the face of adversity?,By showcasing characters' ability to cope with challenges, adapt, and find strength in difficult situations.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How can a textual conversation illuminate the evolution of ideas over time?,By showing how concepts or values are reinterpreted, challenged, or reinforced across different historical periods.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,How does the "aesthetic and imaginative" appeal of a text contribute to its enduring value?,It allows the text to captivate readers, stimulate their minds, and offer a rich, immersive experience that transcends its initial context.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is syntax and how does it influence meaning?,The arrangement of words and phrases to create well-formed sentences; it affects rhythm, emphasis, and clarity.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,What is the difference between individual and collective human experiences?,Individual experiences are unique to a person, while collective experiences are shared by a group.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,What is the role of genre in shaping textual conversations?,Different genres have distinct conventions and expectations that influence how a text responds to or transforms another.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,What does it mean to "evaluate" critical perspectives?,To assess their strengths, weaknesses, and relevance to one's own understanding of the text.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What are sentence structures and how can they be varied for effect?,The ways sentences are put together (simple, compound, complex); variation can create emphasis, rhythm, and clarity.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do texts explore the complexities of human behaviour and motivation?,By presenting characters with conflicting desires, moral dilemmas, and unexpected actions.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How do composers use literary techniques to establish textual conversations?,Through parallel imagery, recurring motifs, or structural similarities that invite comparison.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,How does the study of context inform an understanding of a text's values?,It reveals the societal norms, beliefs, and attitudes prevalent at the time of composition, which are often embedded within the text.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is the difference between denotation and connotation?,Denotation is the literal meaning of a word, while connotation is its associated emotional or cultural meaning.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,What is the importance of understanding cultural context when studying texts?,It helps interpret symbols, values, and behaviours that might differ from one's own.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,What is the purpose of exploring the 'alignments' and 'collisions' between texts?,To identify where texts agree or diverge in their ideas, allowing for deeper analysis of their relationship.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,How does engaging with diverse text types (e.g., prose, drama, poetry) enrich critical study?,It broadens understanding of how meaning is conveyed through different literary conventions.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,How can effective paragraphing enhance the clarity of a written piece?,It organises ideas logically, creates distinct sections for different points, and improves readability.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do texts use symbolism to represent human experiences?,Through objects, characters, or actions that stand for deeper ideas or emotions.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,What is the role of 'personal and intellectual connection' in evaluating textual conversations?,It enables students to form their own informed judgments and interpretations based on their engagement with the texts.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,How does a text's enduring popularity relate to its 'distinctive qualities'?,Texts with enduring appeal often possess unique literary merits or address universal themes in compelling ways.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is the function of an effective opening in a written piece?,To grab the reader's attention, set the tone, and introduce the main idea or purpose.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do texts explore the significance of memory in shaping human experiences?,By depicting how past events influence present actions and perceptions.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,What is the difference between a "response" and a "reimagining" in textual conversations?,A response might comment on or react to a text, while a reimagining re-creates it in a new form or context.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,What is the concept of 'intertextuality' in critical study?,The idea that texts are influenced by and refer to other texts.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is the importance of varying sentence length in writing?,It creates rhythm, adds emphasis, and prevents monotony, improving readability and engagement.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do texts use setting to deepen understanding of human experiences?,Setting can reflect characters' emotional states, symbolise broader themes, or influence events.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How can the study of textual conversations develop a student's own compositional skills?,It demonstrates how writers engage with existing ideas and adapt them for new purposes, inspiring creative responses.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,What is the role of imagery in literary texts?,To create vivid mental pictures and appeal to the senses, enhancing the reader's experience.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What are effective ways to conclude a written piece?,Summarising main points, offering a final insight, or posing a rhetorical question to leave a lasting impression.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do texts explore the impact of conflict on human experiences?,By depicting the struggles, resolutions, and transformations that arise from internal or external conflicts.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How does the concept of 'dialogue' extend beyond literal speech in textual conversations?,It refers to the interplay of ideas, themes, and stylistic choices between texts.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,What is the difference between explicit and implicit meaning in a text?,Explicit meaning is stated directly, while implicit meaning is suggested or implied.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is nominalisation and when is it used?,Turning verbs or adjectives into nouns (e.g., "decide" to "decision"); often used in formal or academic writing.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do texts highlight the role of choice and consequence in human lives?,By showing how characters' decisions lead to specific outcomes.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How does a composer's purpose influence their approach to a textual conversation?,Their intent (e.g., to satirise, celebrate, or critique) shapes how they engage with the earlier text.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,What is the concept of 'universality' in literature?,The idea that a text's themes or messages can resonate with readers across different times and cultures.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is active voice and why is it often preferred?,The subject performs the action (e.g., "The dog chased the ball"); it is direct and clear.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do texts explore the idea of courage and resilience in the face of adversity?,By presenting characters who overcome challenges or demonstrate bravery.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How do textual conversations contribute to the evolution of literary traditions?,They show how new works build upon, challenge, or transform existing forms and ideas.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,What is the role of characterisation in developing a text's meaning?,It reveals personalities, motivations, and relationships, contributing to the overall themes.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is passive voice and when is it acceptable to use?,The action is performed on the subject (e.g., "The ball was chased by the dog"); acceptable when the actor is unknown or unimportant.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,What is the role of adversity in shaping human experiences in texts?,It presents challenges that characters must confront, leading to growth or change.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,How does the 'reception' of a text change over time, and how does this relate to textual conversations?,Audiences' interpretations evolve, influencing how later texts engage with and respond to earlier ones.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,How does a text's 'style' contribute to its overall effect?,It encompasses the writer's unique choices in language, sentence structure, and tone, shaping the reader's experience.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is conciseness in writing and why is it important?,Using as few words as possible to convey meaning; it enhances clarity and impact.
HSC English Advanced,Texts and Human Experiences,English,Common Module,Year 12,How do texts explore the concept of "belonging" or "not belonging"?,Through characters' relationships, social interactions, and their connection to or alienation from places and communities.
HSC English Advanced,Textual Conversations,English,Module A,Year 12,What is the significance of the "intertextual dialogue" in this module?,It highlights how texts are not isolated entities but are in constant conversation with each other across time and contexts.
HSC English Advanced,Critical Study of Literature,English,Module B,Year 12,How can the "aesthetic and imaginative" aspects of a text be discussed?,By analysing its artistic merit, beauty, and emotional impact, often through its use of language, structure, and imagery.
HSC English Advanced,The Craft of Writing,English,Module C,Year 12,What is the difference between tone and mood in writing?,Tone is the writer's attitude towards the subject, while mood is the feeling evoked in the reader.
Year 7-10 Maths,Numbers and arithmetic,Mathematics,Number,Year 7,What is a prime number?,A natural number greater than 1 that has no positive divisors other than 1 and itself.
Year 7-10 Maths,Algebraic expressions,Mathematics,Algebra,Year 7,Simplify 3x + 5x.,8x
Year 7-10 Maths,Measurement,Mathematics,Measurement,Year 7,How many centimetres are in a metre?,100
Year 7-10 Maths,Geometric shapes,Mathematics,Geometry,Year 7,What is the sum of angles in a triangle?,180 degrees
Year 7-10 Maths,Data representation,Mathematics,Statistics,Year 7,What is a bar graph used for?,To compare different categories of data.
Year 7-10 Maths,Probability,Mathematics,Probability,Year 7,What is the probability of rolling a 6 on a standard die?,1/6
Year 7-10 Maths,Numbers and arithmetic,Mathematics,Number,Year 8,What is the lowest common multiple (LCM) of 4 and 6?,12
Year 7-10 Maths,Algebraic equations,Mathematics,Algebra,Year 8,Solve for x: 2x - 5 = 7.,x = 6
Year 7-10 Maths,Measurement,Mathematics,Measurement,Year 8,How do you calculate the area of a rectangle?,Length × Width
Year 7-10 Maths,Geometric transformations,Mathematics,Geometry,Year 8,What is a reflection?,A transformation that flips a figure over a line.
Year 7-10 Maths,Data analysis,Mathematics,Statistics,Year 8,What is the range of a data set?,The difference between the highest and lowest values.
Year 7-10 Maths,Probability,Mathematics,Probability,Year 8,If you flip a coin twice, what is the probability of getting two heads?,1/4
Year 7-10 Maths,Numbers and arithmetic,Mathematics,Number,Year 9,What is scientific notation?,A way of writing very large or very small numbers using powers of 10.
Year 7-10 Maths,Quadratic expressions,Mathematics,Algebra,Year 9,Factorise x^2 + 5x + 6.,(x+2)(x+3)
